date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
5/30/2014 0:00,0.446531257,-0.828504623,1.268874459,1.468833869,1.20788282,0.62279783,1.821350376,-0.699674485,1.890508309,0.523177276
6/2/2014 0:00,0.242901488,-0.245838821,-0.558068725,-0.990142099,-0.497501657,-0.137379514,0.158877958,0.081082731,-1.311177368,0.17599501
6/3/2014 0:00,-0.327467924,-0.745563862,0.254992119,0.322714536,0.832612671,0.091484023,-0.405512854,-0.323873147,0.920876988,-0.066132107
6/4/2014 0:00,0.098084104,-0.636639052,-0.840801671,0.643012831,0.167638611,0.01785216,0.293240705,0.871516312,0.201038268,-0.166004423
6/5/2014 0:00,0.127333951,-0.710121563,1.396652769,0.135176812,1.888104663,0.583958296,0.949693504,0.428745782,1.050444032,1.19632771
6/6/2014 0:00,-0.928002715,0.839246844,-1.87659574,-1.150347598,-2.554628088,-0.86903545,-0.96327014,-0.451017127,-1.755905644,0.357406314
6/9/2014 0:00,-0.242085812,0.306382547,-0.243807159,0.078009948,0.927994855,0.034261783,0.012593693,-0.657119858,-0.089293922,-0.012475637
6/10/2014 0:00,-0.12287372,0.097118405,-0.351840015,-0.843866396,-2.224534985,-0.574101985,-2.200379148,-0.539643898,-0.638160308,0.11345083
6/11/2014 0:00,2.129449058,-1.565876869,4.030896467,2.85800368,5.673233302,1.874004652,2.946946936,-0.214431989,4.186592949,-0.441904772
6/12/2014 0:00,-1.537621767,1.853895409,-3.859708007,-1.384900998,-4.658580619,-1.416375337,-3.618538163,-1.650624259,-2.725321997,0.624362829
6/13/2014 0:00,2.179436575,-2.452836133,4.765758882,2.00769393,5.263661787,1.832985523,3.863842227,1.272966487,4.210319605,-1.345904752
6/16/2014 0:00,-0.604021477,-0.18368675,-1.163014231,0.149285905,-1.878749315,-0.305831722,-1.208838486,-0.334625219,-0.785219484,0.226956083
6/17/2014 0:00,2.435609568,-3.248846974,4.600368252,3.320352389,7.275904402,2.503465816,5.576042769,1.250480057,4.988726619,-0.655573868
6/18/2014 0:00,-0.981861513,1.143281785,-2.574093891,-0.902022484,-3.323811258,-0.862580745,-1.861044259,-0.096325356,-2.892026412,0.998685468
6/19/2014 0:00,0.783435579,-0.892241783,0.94933445,1.411896152,2.459315909,0.572510693,1.800189742,0.445659473,1.511301667,-0.177379392
6/20/2014 0:00,-1.102613339,1.053500335,-1.396607864,-1.006001367,-3.01872712,-0.826866783,-2.422677571,-0.011269821,-1.699414799,0.378446474
6/23/2014 0:00,0.378729717,-0.137685496,0.107428287,0.359464473,0.028678031,-0.012608771,0.273611573,-0.384650928,0.670631071,0.206268011
6/24/2014 0:00,-1.046729879,1.264611894,-1.338171527,-0.600058987,-3.322131897,-0.832761267,-1.78519071,-1.041041961,-0.954836043,-0.011817991
6/25/2014 0:00,0.270541876,-0.592200322,0.952845893,0.069167947,0.889887593,0.351127823,1.198679422,0.516609934,1.300910817,0.43511843
6/26/2014 0:00,-0.205810532,-0.299669165,-0.124669717,-0.269726946,0.065407645,0.072000725,-0.437551334,-0.712144018,0.628024181,-0.175965362
6/27/2014 0:00,-0.635988206,0.459780141,-0.303408653,-1.457443024,-1.732964897,-0.678493697,-1.795537452,-0.167694332,-2.041420698,0.63144427
6/30/2014 0:00,0.115217417,0.376806103,-0.275625378,1.204266663,0.834765371,0.078077864,0.410042348,-0.311131308,0.794073291,0.747267206
